objetivo_id,execucao_id,participante_id,tarefa_num,objetivo_num,objetivo_descricao,tempo_inicio_gravacao,tempo_fim_gravacao,tempo_seg,status,dica_n2_aplicada,resposta_verbalizada,resposta_correta_esperada,acertou,fonte_dado,observacoes,flag_revisao
exp02_T2_O1,exp02_T2,exp02,2,5,Identificar total de serviços digitais,00:57:50,01:07:50 - Bloqueio,,nao_concluido,sim,,,,,,
exp02_T2_O2,exp02_T2,exp02,2,6,Identificar média de utilidade das páginas,NA,NA,,NA,NA,,,,,,
,,,,,,,,,,,,,,,,
exp02_T3_O1,exp02_T3,exp02,3,1,Identificar informações unidade atendimento,01:46:06,01:51:53,00:05:47,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp02_T4_O1,exp02_T4,exp02,4,1,Link censo 2022,02:00:00,02:01:20,00:01:20,concluido_sem_assistencia,não,,,,,,
exp02_T4_O2,exp02_T4,exp02,4,2,Link resultados censo 2022,NA,NA,,atalhado,NA,,,,,,
exp02_T4_O3,exp02_T4,exp02,4,3,Identificar população do estado,02:01:37,02:07:06,00:05:29,concluido_sem_assistencia,não,,,,,,
exp02_T4_O4,exp02_T4,exp02,4,4,Identificar porcentagem de pessoas com deficiência,02:08:56,02:12:12,00:03:16,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp02_T5_O1,exp02_T5,exp02,5,1,Identificar total de empresas ativas no Brasil,01:23:43,01:38:00 - Bloqueio,,nao_concluido,sim,,,,,,
exp03,,,,,,,,,,,,,,,,
exp03_T1_O1,exp03_T1,exp03,1,1,Localizar botão iniciar,00:19:07,00:19:37,00:00:30,concluido_sem_assistencia,não,,,,,,
exp03_T1_O2,exp03_T1,exp03,1,2,Preencher formulário,00:19:37,00:20:40,00:01:03,concluido_sem_assistencia,não,,,,,,
exp03_T1_O3,exp03_T1,exp03,1,3,Identificar situação CPF,00:20:40,00:21:14,00:00:34,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp03_T2_N1,exp03_T2,exp03,2,1,Link estratégias e governança digital,00:28:30,00:29:36,00:01:06,concluido_sem_assistencia,não,,,,,,
exp03_T2_N2,exp03_T2,exp03,2,2,Link Transformação Digital,00:29:40,00:30:08,00:00:28,concluido_sem_assistencia,não,,,,,,
exp03_T2_N3,exp03_T2,exp03,2,3,Link Central de Qualidade,00:30:12,00:30:48,00:00:36,concluido_sem_assistencia,não,,,,,,
exp03_T2_N4,exp03_T2,exp03,2,4,Link Painel de monitoramento de serviços,00:31:08,31:23:00,30:51:52,concluido_sem_assistencia,não,,,,,,
exp03_T2_O1,exp03_T2,exp03,2,5,Identificar total de serviços digitais,00:32:15,00:37:10 - Bloqueio,,nao_concluido,sim,,,,,,
exp03_T2_O2,exp03_T2,exp03,2,6,Identificar média de utilidade das páginas,NA,NA,,NA,,,,,,,
,,,,,,,,,,,,,,,,
exp03_T3_O1,exp03_T3,exp03,3,1,Identificar informações unidade atendimento,00:45:08,00:50:20,,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp03_T4_O1,exp03_T4,exp03,4,1,Link censo 2022,00:57:25,00:58:20,00:00:55,concluido_sem_assistencia,não,,,,,,
exp03_T4_O2,exp03_T4,exp03,4,2,Link resultados censo 2022,NA,NA,,atalhado,NA,,,,,,
exp03_T4_O3,exp03_T4,exp03,4,3,Identificar população do estado,00:58:35,01:07:30 - Bloqueio,,nao_concluido,sim,,,,,,
exp03_T4_O4,exp03_T4,exp03,4,4,Identificar porcentagem de pessoas com deficiência,01:08:20,01:08:54,00:00:34,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp03_T5_O1,exp03_T5,exp03,5,1,Identificar total de empresas ativas no Brasil,01:15:20,1:20:00 - Bloqeuio,,nao_concluido,sim,,,,,,
exp04,,,,,,,,,,,,,,,,
exp04_T1_O1,exp04_T1,epx04,1,1,Localizar botão iniciar,00:25:40,00:26:28,00:00:48,concluido_sem_assistencia,não,,,,,,
exp04_T1_O2,exp04_T1,epx04,1,2,Preencher formulário,00:26:28,00:26:56,00:00:28,concluido_sem_assistencia,não,,,,,,
exp04_T1_O3,exp04_T1,epx04,1,3,Identificar situação CPF,00:26:56,00:27:38,00:00:42,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp04_T2_N1,exp04_T2,epx04,2,1,Link estratégias e governança digital,00:36:58,00:37:28,00:00:30,concluido_sem_assistencia,não,,,,,,
exp04_T2_N2,exp04_T2,epx04,2,2,Link Transformação Digital,00:37:37,00:37:51,00:00:14,concluido_sem_assistencia,não,,,,,,
exp04_T2_N3,exp04_T2,epx04,2,3,Link Central de Qualidade,00:38:05,00:38:50,00:00:45,concluido_sem_assistencia,não,,,,,,
exp04_T2_N4,exp04_T2,epx04,2,4,Link Painel de monitoramento de serviços,00:39:00,00:39:13,00:00:13,concluido_sem_assistencia,não,,,,,,
exp04_T2_O1,exp04_T2,epx04,2,5,Identificar total de serviços digitais,00:39:41,Bloqueio,,nao_concluido,sim,,,,,Nem com o mouse vou possível acessar a informação,
exp04_T2_O2,exp04_T2,epx04,2,6,Identificar média de utilidade das páginas,00:47:16,Bloqueio,,nao_concluido,sim,,,,,Nem com o mouse vou possível acessar a informação,
,,,,,,,,,,,,,,,,
exp04_T3_O1,exp04_T3,epx04,3,1,Identificar informações unidade atendimento,00:55:52,01:01:10,00:05:18,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp04_T4_O1,exp04_T4,epx04,4,1,Link censo 2022,01:05:32,01:06:16,00:00:44,concluido_sem_assistencia,não,,,,,,
exp04_T4_O2,exp04_T4,epx04,4,2,Link resultados censo 2022,NA,NA,,atalhado,NA,,,,,,
exp04_T4_O3,exp04_T4,epx04,4,3,Identificar população do estado,01:06:48,01:10:21,00:03:33,concluido_sem_assistencia,não,,,,,,
exp04_T4_O4,exp04_T4,epx04,4,4,Identificar porcentagem de pessoas com deficiência,01:13:28,01:15:02,00:01:34,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp04_T5_O1,exp04_T5,exp04,5,1,Identificar total de empresas ativas no Brasil,NA,NA,,NA,NA,,,,,,
exp05,,,,,,,,,,,,,,,,
exp05_T1_O1,epx05_T1,epx05,1,1,Localizar botão iniciar,00:24:04,00:25:11,00:01:07,concluido_sem_assistencia,não,,,,,,
exp05_T1_O2,epx05_T1,epx05,1,2,Preencher formulário,00:25:11,00:26:24,00:01:13,concluido_sem_assistencia,não,,,,,,
exp05_T1_O3,epx05_T1,epx05,1,3,Identificar situação CPF,00:26:24,00:26:50,00:00:26,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp05_T2_N1,epx05_T2,epx05,2,1,Link estratégias e governança digital,00:39:03,00:39:50,00:00:47,concluido_sem_assistencia,não,,,,,,
exp05_T2_N2,epx05_T2,epx05,2,2,Link Transformação Digital,00:39:58,00:40:22,00:00:24,concluido_sem_assistencia,não,,,,,,
exp05_T2_N3,epx05_T2,epx05,2,3,Link Central de Qualidade,00:40:29,00:40:45,00:00:16,concluido_sem_assistencia,não,,,,,,
exp05_T2_N4,epx05_T2,epx05,2,4,Link Painel de monitoramento de serviços,00:40:54,00:41:26,00:00:32,concluido_sem_assistencia,não,,,,,,
exp05_T2_O1,epx05_T2,epx05,2,5,Identificar total de serviços digitais,00:41:46,Bloqueio,,nao_concluido,sim,,,,,,
exp05_T2_O2,epx05_T2,epx05,2,6,Identificar média de utilidade das páginas,NA,NA,,NA,NA,,,,,,
,,,,,,,,,,,,,,,,
exp05_T3_O1,epx05_T3,epx05,3,1,Identificar informações unidade atendimento,00:51:56,01:01:30,00:09:34,concluido_com_dica_n2,sim,,,,,,
,,,,,,,,,,,,,,,,
exp05_T4_O1,epx05_T4,epx05,4,1,Link censo 2022,01:12:10,01:12:25,00:00:15,concluido_sem_assistencia,não,,,,,,
exp05_T4_O2,epx05_T4,epx05,4,2,Link resultados censo 2022,NA,NA,,atalhado,NA,,,,,,
exp05_T4_O3,epx05_T4,epx05,4,3,Identificar população do estado,01:12:37,01:18:26,00:05:49,concluido_sem_assistencia,não,,,,,,
exp05_T4_O4,epx05_T4,epx05,4,4,Identificar porcentagem de pessoas com deficiência,01:19:40,01:20:51,00:01:11,concluido_sem_assistencia,não,,,,,,
,,,,,,,,,,,,,,,,
exp05_T5_O1,exp05_T5,exp05,5,1,Identificar total de empresas ativas no Brasil,,,,NA,NA,,,,,,
